type,value,n
expansion,Broom Service: Mini Expansion,1
expansion,Bruges: The City on the Zwin,1
expansion,Bruti: Ciurma,1
expansion,Brügge: Die Haustiere,1
expansion,Buccaneer Bones: Expansion Set,1
expansion,Buck Rogers 2.0,1
expansion,Buckeyes!,1
expansion,Budapest Pack,1
expansion,Buffalos,1
expansion,Builders of Blankenburg: Cutthroat,1
expansion,Bulgaria (fan expansion of Ticket to Ride),1
expansion,Bulge 20 Expansion Kit,1
expansion,Bull in a China Shop: Action Cards,1
expansion,Bullfrogs: Solitaire Variant Expansion,1
expansion,Burg Appenzell Erweiterung: Völlig mausgeflippt,1
expansion,Burger Up: Burgers of the World,1
expansion,Burgle Bros.: 5 Promo Event Pack,1
expansion,Burgle Bros.: Bonus Event – Alter Ego,1
expansion,Burkes Gambit: Xenobiologist,1
expansion,Bush Wars: Africa 1967-2010,1
expansion,Bushido: Tanin the Stranger,1
expansion,Busting the Bocage,1
expansion,Buzz It! Demonstratiespel,1
expansion,Byzantio / Nekken: Event Set I,1
expansion,CHEW: Chog Frappe Promo,1
expansion,CO₂: The Arctic Expansion,1
expansion,CSI: Crime Game – Booster Pack #2,1
expansion,CSI: Crime Scene Investigation Boardgame – Crime Game & Booster Pack #1,1
expansion,CSI: Crime Scene Investigation – The Crime Game,1
expansion,CV: Gossip,1
expansion,CV: Promo Cards,1
expansion,CVlizations: Promo Cards,1
expansion,Ca$h 'n Gun$: Silver Saw-off,1
expansion,Ca$h 'n Gun$: Size Doesn't Matter,1
expansion,Ca$h 'n Gun$: Yakuzas,1
expansion,Ca$h 'n Guns (Second Edition): Full of Surprises,1
expansion,Ca$h 'n Guns (Second Edition): More Cash 'n More Guns,1
expansion,Ca$h 'n Guns (Second Edition): Team Spirit,1
expansion,Ca$h 'n Guns (Second Edition): The Banana,1
expansion,Ca$h 'n Guns (Second Edition): The Blackmailer,1
expansion,Ca$h 'n Guns (Second Edition): The Cop,1
expansion,Ca$h 'n Guns (Second Edition): The Fast Gun,1
expansion,Cacao: Big Market,1
expansion,Cacao: Big Market & Golden Temple,1
expansion,Cacao: Chocolatl,1
expansion,Cacao: Chocolatl – New Huts,1
expansion,Cacao: Chocolatl – New Storage Spaces,1
expansion,Cacao: Die Lichtung,1
expansion,Cacao: Golden Temple,1
expansion,Cacao: Volcanoes,1
expansion,Cadwallon: City of Thieves – A Gamble in the Dark,1
expansion,Cadwallon: City of Thieves – Cry Havoc!,1
expansion,Cadwallon: City of Thieves – Magic,1
expansion,Cadwallon: City of Thieves – Run for Your Life!,1
expansion,Cadwallon: City of Thieves – The Duke of Cadwallon,1
expansion,Cadwallon: City of Thieves – The Inn,1
expansion,Cadwallon: City of Thieves – The King of Ashes,1
expansion,Caesar XL Gold Expansion Kit,1
expansion,Café Melange: 1. Erweiterung – Herr Ober,1
expansion,Cakes Athirst Hilarity: Volume #1,1
expansion,Cakes Athirst Hilarity: Volume #2,1
expansion,Cakes Athirst Hilarity: Volume #3,1
expansion,Cakes Athirst Hilarity: Volume #4,1
expansion,California Gold: The Northern Counties Expansion,1
expansion,California: Bonuskarten Katalog Edition 7,1
expansion,California: Neue Bonuskarten,1
expansion,Call This A Ruddy Picnic?,1
expansion,Call of Cthulhu: The Card Game – Ancient Horrors Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Aspirations of Ascension Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Conspiracies of Chaos Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Curse of the Jade Emperor Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Denizens of the Underworld,1
expansion,Call of Cthulhu: The Card Game – Dunwich Denizens Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Ebla Restored,1
expansion,Call of Cthulhu: The Card Game – For the Greater Good,1
expansion,Call of Cthulhu: The Card Game – In Memory of Day Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – In the Dread of Night Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Initiations of the Favored Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Into Tartarus Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Journey to Unknown Kadath Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Kingsport Dreams Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Lost Rites,1
expansion,Call of Cthulhu: The Card Game – Murmurs of Evil Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Never Night  Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Perilous Trials Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Screams from Within Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Search for the Silver Key Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Secrets of Arkham,1
expansion,Call of Cthulhu: The Card Game – Seekers of Knowledge,1
expansion,Call of Cthulhu: The Card Game – Shadow of the Monolith Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Sleep of the Dead Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Spawn of Madness Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Terror in Venice,1
expansion,Call of Cthulhu: The Card Game – That Which Consumes Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – The Antediluvian Dreams Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – The Breathing Jungle  Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – The Cacophony Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – The Gleaming Spiral Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – The Horror Beneath the Surface Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – The Key and the Gate,1
expansion,Call of Cthulhu: The Card Game – The Mark of Madness,1
expansion,Call of Cthulhu: The Card Game – The Mountains of Madness Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – The Order of the Silver Twilight,1
expansion,Call of Cthulhu: The Card Game – The Path to Y'ha-nthlei Asylum pack,1
expansion,Call of Cthulhu: The Card Game – The Shifting Sands Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – The Sleeper Below,1
expansion,Call of Cthulhu: The Card Game – The Spawn of the Sleeper Asylum pack,1
expansion,Call of Cthulhu: The Card Game – The Spoken Covenant Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – The Terror of the Tides Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – The Thing from the Shore Asylum pack,1
expansion,Call of Cthulhu: The Card Game – The Thousand Young,1
expansion,Call of Cthulhu: The Card Game – The Twilight Beckons Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – The Unspeakable Pages,1
expansion,Call of Cthulhu: The Card Game – The Wailer Below Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Touched by the Abyss,1
expansion,Call of Cthulhu: The Card Game – Twilight Horror Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Whispers in the Dark Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Words of Power Asylum Pack,1
expansion,Call of Cthulhu: The Card Game – Written and Bound Asylum Pack,1
expansion,Cambodia (fan expansion of Ticket to Ride),1
expansion,Camel Up Cards: Catch Up Trophies,1
expansion,Camel Up: Grand Prix of the Sahara,1
expansion,Camel Up: Supercup,1
expansion,Camel Up: The Referee Camel,1
expansion,Camp Booster Pack,1
expansion,Camp Grizzly: Expansion #1 – Spin The Bottle,1
expansion,Camp Grizzly: Expansion #2 – Keep Your Distance,1
expansion,Camp Grizzly: Expansion #3 – Behind the Bear,1
expansion,Camp Grizzly: Expansion #4 – Jump the Bear,1
expansion,Camp Grizzly: Expansion #5 – Rated R,1
expansion,Can't Stop: Rollin' Down the Highway,1
expansion,Canada 2017 (fan expansion of Ticket to Ride),1
expansion,Canada at War #1,1
expansion,Canada at War #2,1
expansion,Canary Islands (fan expansion to Ticket to Ride),1
expansion,Canine Troopers,1
expansion,Cannes: Stars,1
expansion,Canopy Walk: Goodie Set I,1
expansion,Canopy Walk: Goodie Set II,1
expansion,Canyon: Grand Canyon,1
expansion,CapCom Street Fighter Deck-Building Game: Blanka Promo,1
expansion,Capo dei Capi: Apprentices Expansion,1
expansion,Captain Sonar: Chicago Map,1
expansion,Captain Sonar: Foxtrot Map,1
expansion,Captain Sonar: New York Map,1
expansion,Captain Sonar: Upgrade 1,1
expansion,Captain's Wager: Kickstarter Promos,1
expansion,Captain's Wager: Maelstrom Expansion,1
expansion,Captains and Characters,1
expansion,Car Wars Arena Book,1
expansion,Car Wars Arenas,1
expansion,Car Wars Arenas 2,1
expansion,Car Wars Deluxe Road Sections Set 1: Starter Set,1
expansion,Car Wars Deluxe Road Sections Set 2: Intersections,1
expansion,Car Wars Deluxe Road Sections Set 3: Straights,1
expansion,Car Wars Expansion Set,1
expansion,Car Wars Expansion Set #1,1
expansion,Car Wars Expansion Set #10,1
expansion,Car Wars Expansion Set #2,1
expansion,Car Wars Expansion Set #3,1
expansion,Car Wars Expansion Set #4,1
expansion,Car Wars Expansion Set #5,1
expansion,Car Wars Expansion Set #6,1
expansion,Car Wars Expansion Set #7,1
expansion,Car Wars Expansion Set #8,1
expansion,Car Wars Expansion Set #9,1
expansion,Car Wars Reference Screen,1
expansion,Car Wars Supplements: The AADA Road Atlas and Survival Guides,1
expansion,Car Wars Tanks,1
expansion,Car Wars: The Card Game – Body Armor Promo Card,1
expansion,Car Wars: The Card Game – Out of Control Promo Card,1
expansion,Caratacus,1
expansion,"Caravelas: ""The Black Ship""",1
expansion,Carcassonne: Bogatyr' na rasput'ye & Izbushka,1
expansion,Carcassonne: Bonusplättchen Spiel 2016,1
expansion,Carcassonne: Cathedrals in Germany,1
expansion,Carcassonne: Darmstadt,1
expansion,Carcassonne: Der Osterhase,1
expansion,Carcassonne: Die Belagerer,1
expansion,Carcassonne: Die Stadttore,1
expansion,Carcassonne: Die Wachtürme,1
expansion,Carcassonne: Die Wahrsagerin,1
expansion,Carcassonne: Goldrausch – Der Sheriff,1
expansion,Carcassonne: Halb so wild,1
expansion,Carcassonne: Hills & Sheep,1
expansion,Carcassonne: La Porxada,1
expansion,Carcassonne: Nikolaus-Zählleiste,1
expansion,Carcassonne: Solovei Razboynik and Vodyanoy,1
expansion,Carcassonne: Star Wars – Erweiterung 1,1
expansion,Carcassonne: Südsee – Freitag,1
expansion,Carcassonne: The Castle – Falcon,1
expansion,Carcassonne: The Ferries,1
expansion,Carcassonne: The Festival,1
expansion,Carcassonne: The Robbers,1
expansion,Carcassonne: Under the Big Top,1
expansion,Carcassonne: We Go to Carcassonne,1
expansion,Carcassonne: Winter-Edition – Der Lebkuchenmann,1
expansion,Carcassonne: Winter-Edition – Die Kornkreise,1
expansion,Card City expansion,1
expansion,Cards & Punishment: Vol. 1 (unofficial expansion for Cards Against Humanity),1
expansion,Cards Against Humanity: 12 Days of Holiday Bullshit,1
expansion,Cards Against Humanity: 2014 Holiday Expansion,1
expansion,Cards Against Humanity: 90s Nostalgia Pack,1
expansion,Cards Against Humanity: Blue Box,1
expansion,Cards Against Humanity: Design Pack,1
expansion,Cards Against Humanity: Eight Sensible Gifts for Hanukkah,1
expansion,Cards Against Humanity: Fantasy Pack,1
expansion,Cards Against Humanity: Fascism Pack,1
expansion,Cards Against Humanity: Fifth Expansion,1
expansion,Cards Against Humanity: First Expansion,1
expansion,Cards Against Humanity: Food Pack,1
expansion,Cards Against Humanity: Fourth Expansion,1
expansion,Cards Against Humanity: Geek Pack,1
expansion,Cards Against Humanity: Green Box,1
expansion,Cards Against Humanity: Holiday Expansion,1
expansion,Cards Against Humanity: House of Cards Pack,1
expansion,Cards Against Humanity: Mass Effect Pack,1
expansion,Cards Against Humanity: PAX East 2013 Promo Packs,1
expansion,Cards Against Humanity: PAX East 2014 Panel Pack,1
expansion,Cards Against Humanity: PAX East 2014 Promo Pack,1
expansion,Cards Against Humanity: PAX Prime 2013 Promo Pack,1
expansion,Cards Against Humanity: PAX Prime 2014 Panel Pack,1
expansion,Cards Against Humanity: Please do not buy this product.,1
expansion,Cards Against Humanity: Red Box,1
expansion,Cards Against Humanity: Reject Pack,1
expansion,Cards Against Humanity: Reject Pack 2,1
expansion,Cards Against Humanity: Retail Pack,1
expansion,Cards Against Humanity: Retail Product,1
expansion,Cards Against Humanity: Sci-Fi Pack,1
expansion,Cards Against Humanity: Science Pack,1
expansion,Cards Against Humanity: Second Expansion,1
expansion,Cards Against Humanity: Sixth Expansion,1
expansion,Cards Against Humanity: TableTop Pack,1
expansion,Cards Against Humanity: Ten Days or Whatever of Kwanzaa,1
expansion,Cards Against Humanity: The Bigger,1
expansion,Cards Against Humanity: Third Expansion,1
expansion,Cards Against Humanity: Trump Pack,1
expansion,Cards Against Humanity: Vote for Hillary Pack,1
expansion,Cards Against Humanity: Vote for Trump Pack,1
expansion,Cards Against Humanity: World Wide Web Pack,1
expansion,Cards at Sea,1
expansion,Carnage at Cassino,1
expansion,Carnival: The Sideshow,1
expansion,Carnival: Wild! Die,1
expansion,Carps & Angsty Manatee: Texas Edition,1
expansion,Carps & Angsty Manatee: Volume 1,1
expansion,Carrier Planes in Flames,1
expansion,Carrotia: Carroting,1
expansion,Carrotia: Carrots Out,1
expansion,Carrotia: Noscarrotu,1
expansion,Carrotia: Tutancarrot,1
expansion,Carson City: A New Beginning,1
expansion,Carson City: Gold & Guns,1
expansion,Carson City: Horses & Heroes,1
expansion,Carson City: The Indian,1
expansion,Carson City: The Teacher & Town Hall,1
expansion,Cartoon Network Crossover Crisis: Dee Dee,1
expansion,Cartoona: Expansions – includes Heads on Tails and Long Necks,1
expansion,Cartoona: Heads on Tails Expansion,1
expansion,Cartoona: Long Necks Expansion,1
expansion,Cashflow 202,1
expansion,Casters Against the Multiverse,1
expansion,Castle Assault: Dagger of Ill Omen Promo Card,1
expansion,Castle Assault: Halting Force Promo Card,1
expansion,Castle Assault: Sir Mitchell Greencastle Promo Card,1
expansion,Castle Crush! Cubes & Cards,1
expansion,Castle Dice: More Castles!,1
expansion,Castle Dice: More Castles! – Kickstarter Stretch Goal Rewards,1
expansion,Castle Panic: Any Color Hero Promo,1
expansion,Castle Panic: Crossbow promo,1
expansion,Castle Panic: Engines of War,1
expansion,Castle Panic: Feather Promo,1
expansion,Castle Panic: The Dark Titan,1
expansion,Castle Panic: The Wizard's Tower,1
expansion,Castle Panic: Tower Promo 2015 Tabletop Day,1
expansion,Castle Panic: Tower Promo 2016 Tabletop Day,1
expansion,Castle Panic: Tower Promo 2017 Tabletop Day,1
expansion,Castle of Magic: The Castle Cursed,1
expansion,Castle: The Detective Card Game – Murder Board Promo,1
expansion,Castles of Mad King Ludwig: Secrets,1
expansion,Catacombs:  Dark Passageways,1
expansion,Catacombs: Cavern of Soloth,1
expansion,Catacombs: Cavern of Soloth (third edition),1
expansion,Catacombs: Chicks in a Catacomb,1
expansion,Catacombs: Crypt of Shaurath,1
expansion,Catacombs: Horde of Vermin,1
expansion,Catacombs: Shadowlithe Fist promo,1
expansion,Catacombs: Teleport,1
expansion,Catacombs: Wyverns of Wylemuir,1
expansion,Catacombs: Zombie Horde,1
expansion,Catakatoa,1
expansion,Catalonia (fan expansion for Brass),1
expansion,Catan Austria / Wien meets Catan,1
expansion,Catan Card Game: Artisans & Benefactors,1
expansion,Catan Card Game: Barbarians & Traders Upgrade Kit,1
expansion,Catan Card Game: Expansion Set,1
expansion,Catan Dice Game Plus,1
expansion,Catan Dice Game XXL Variant,1
expansion,Catan Geographies: Austria,1
expansion,Catan Geographies: Bayern Edition,1
expansion,Catan Geographies: Corsica,1
expansion,Catan Geographies: Georgia,1
expansion,Catan Geographies: Kennessee,1
expansion,Catan Geographies: Mallorca,1
expansion,Catan Geographies: North Rhine – Westphalia,1
expansion,Catan Geographies: Settlers of Hesse,1
expansion,Catan Länderszenarien: Polen,1
expansion,Catan Länderszenarien: Rickshaw Run,1
expansion,Catan Scenarios: Big Game Big Honor,1
expansion,Catan Scenarios: Catanimals,1
expansion,Catan Scenarios: Frenemies,1
expansion,Catan Scenarios: Oil Springs,1
expansion,Catan Scenarios: Santa Claus,1
expansion,Catan World Championship Berlin 2014 Special,1
expansion,Catan: 5-6 Player Extension,1
expansion,Catan: 999 Games 25 jaar Expansion,1
expansion,Catan: Catan Day 2015 Exclusive Expansion,1
expansion,Catan: Cities & Knights,1
expansion,Catan: Cities & Knights – 5-6 Player Extension,1
expansion,Catan: Das Duell – Sonderkarte 2016: 20 Jahre Catan,1
expansion,Catan: Das Duell – Sonderkarte 2016: Michael der Wagemutige,1
expansion,Catan: Delmarva,1
expansion,Catan: Event Cards,1
expansion,Catan: Explorers & Pirates,1
expansion,Catan: Explorers & Pirates – 5-6 Player Extension,1
expansion,Catan: Indiana & Ohio,1
expansion,Catan: New England,1
expansion,Catan: New York,1
expansion,Catan: Penn/Jersey,1
expansion,Catan: Playmat Desert,1
expansion,Catan: Playmat Gold,1
expansion,Catan: Seafarers,1
expansion,Catan: Seafarers – 5-6 Player Extension,1
expansion,Catan: Seefahrer – 20 Jahre Jubiläums-Edition,1
expansion,Catan: Szenarien für Seefahrer – Die Legende der Seeräuber,1
expansion,Catan: The Carolinas,1
expansion,Catan: Traders & Barbarians,1
expansion,Catan: Traders & Barbarians – 5-6 Player Extension,1
expansion,Catan: World Championship Durango 2016 Special,1
expansion,Category 5:   Luggage Promo Card,1
expansion,Cats Abiding Horribly: Episode II – A New Low,1
expansion,Cats Abiding Horribly: Episode III – The SJWs Strike Back,1
expansion,Cats Abiding Horribly: Episode One – The Dirty Goblin,1
expansion,Cats Against the World (Unofficial expansion for Cards Against Humanity),1
